===== FarPoint Technologies, Inc =====
===== Begin of Excel Workbook General Load =====
10/28/2021 - 19:12

Col	Row	Information
___	___	___________
		Import Excel File: D:\Work Space\sasi\Ref\169.xls

===== End of Excel Workbook General Load =====

===== Begin of Excel Sheet Load =====
		Import Sheet:  -1
6	25	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	25	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	25	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	34	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	34	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	34	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	34	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	35	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	35	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	35	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	35	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	36	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	36	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	36	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	36	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	37	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	37	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	37	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	37	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	38	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	38	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	38	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	38	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	39	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	39	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	39	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	39	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	40	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	40	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	40	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	40	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	41	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	41	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	41	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	41	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	42	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	42	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	42	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	42	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	43	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	43	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	43	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	43	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	44	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	44	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	44	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	44	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	45	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	45	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	45	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	45	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	46	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	46	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	46	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	46	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	47	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	47	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	47	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
